Make Her Say,Kid Cudi Feat. Kayne West & Common,100,216.36353741496598,/home/kaileen/Documents/CSC475/Project/music_repo/12 Make Her Say.m4a
Burnin',Daft Punk,124,413.7099319727891,/home/kaileen/Documents/CSC475/Project/music_repo/13 Burnin'.m4a
Magic Button,Format:B,124,425.8539682539683,/home/kaileen/Documents/CSC475/Project/music_repo/01 Magic Button.m4a
It's You (San Soda's Panorama Bar Radio Version),FCL,119,238.9101133786848,/home/kaileen/Documents/CSC475/Project/music_repo/01 It's You (San Soda's Panorama Bar Radio Version).m4a
Rock 'n Roll,Daft Punk,136,453.90367346938774,/home/kaileen/Documents/CSC475/Project/music_repo/11 Rock 'n Roll.m4a
A.N.I.C.,Sum 41,100,37.54666666666667,/home/kaileen/Documents/CSC475/Project/music_repo/A.N.I.C..m4a
What's My Age Again?,Blink-182,79,148.39873015873016,/home/kaileen/Documents/CSC475/Project/music_repo/What's My Age Again.m4a
Gypsy Woman (She's Homeless) [Basement Boy Strip To The Bone Mix],Crystal Waters,120,451.86031746031745,/home/kaileen/Documents/CSC475/Project/music_repo/09 Gypsy Woman (She's Homeless) [Basement Boy Strip To The Bone Mix].m4a
We Can't Fly - Extended Drums Mix,Aeroplane,100,271.09297052154193,/home/kaileen/Documents/CSC475/Project/music_repo/We Can't Fly - Extended Drums Mix.m4a
Wonderland (Dub Mix),Peter Gelderblom & Randy Colle,126,382.897052154195,/home/kaileen/Documents/CSC475/Project/music_repo/01 Wonderland (Dub Mix).m4a
Robots Are Cooool,Eats Everything,126,390.3506575963719,/home/kaileen/Documents/CSC475/Project/music_repo/09 Robots Are Cooool.m4a
No Exit (Original Mix),Charles Ramirez,63,362.90467120181404,/home/kaileen/Documents/CSC475/Project/music_repo/01 No Exit (Original Mix).m4a
Little Deuce Coupe,The Beach Boys,134,109.64462585034013,/home/kaileen/Documents/CSC475/Project/music_repo/Little Deuce Coupe.m4a
Thanks For Nothing,Sum 41,102,184.48253968253968,/home/kaileen/Documents/CSC475/Project/music_repo/Thanks For Nothing.m4a
Ixchel,Dandy Jack & The Third Leg,126,386.3568253968254,/home/kaileen/Documents/CSC475/Project/music_repo/1-05 Ixchel.m4a
Wormwood,Solus,122,300.4429931972789,/home/kaileen/Documents/CSC475/Project/music_repo/05 Wormwood.m4a
Still Waiting,Sum 41,96,158.77804988662132,/home/kaileen/Documents/CSC475/Project/music_repo/Still Waiting.m4a
Kathy's Song,Simon and Garfunkel,95,204.84643990929706,/home/kaileen/Documents/CSC475/Project/music_repo/Kathy's Song.m4a
Food Clothes Medicine,Aesop Rock,82,276.3871201814059,/home/kaileen/Documents/CSC475/Project/music_repo/07 Food Clothes Medicine.m4a
Catch A Wave,The Beach Boys,70,138.7392290249433,/home/kaileen/Documents/CSC475/Project/music_repo/Catch A Wave.m4a
He's a Pirate,Klaus Badelt,71,92.42666666666666,/home/kaileen/Documents/CSC475/Project/music_repo/He's a Pirate.flac
Teachers,Daft Punk,124,173.52272108843536,/home/kaileen/Documents/CSC475/Project/music_repo/09 Teachers.m4a
Oh Yeah (MURK Boys Mix) [MURK Boys Mix],D.O.P.,120,384.15092970521545,/home/kaileen/Documents/CSC475/Project/music_repo/01 Oh Yeah (MURK Boys Mix) [MURK Boys Mix].m4a
Simple As...,Kid Cudi,96,151.3012244897959,/home/kaileen/Documents/CSC475/Project/music_repo/03 Simple As....m4a
Fog Bound,Klaus Badelt,61,136.48,/home/kaileen/Documents/CSC475/Project/music_repo/Fog Bound.flac
Time Waits For No-One,Duck Sauce,66,282.4243083900227,/home/kaileen/Documents/CSC475/Project/music_repo/12 Time Waits For No-One.m4a
Bootstrap's Bootstraps,Klaus Badelt,68,158.58666666666667,/home/kaileen/Documents/CSC475/Project/music_repo/Bootstrap's Bootstraps.flac
Holy Smokes,Aesop Rock,87,231.71192743764172,/home/kaileen/Documents/CSC475/Project/music_repo/04 Holy Smokes.m4a
Rave Alert,Christian Smith,126,465.699410430839,/home/kaileen/Documents/CSC475/Project/music_repo/02 Rave Alert.m4a
Hooch,Sum 41,94,208.23655328798185,/home/kaileen/Documents/CSC475/Project/music_repo/Hooch.m4a
Chrysalis Records (feat. Trust),Egyptrixx,122,201.73496598639457,/home/kaileen/Documents/CSC475/Project/music_repo/03 Chrysalis Records (feat. Trust).m4a
I Wanna Dance With Somebody (The Cube Guys Extended Mix Full Vocal),The Cube Guys & Barbara Tucker,128,419.6774603174603,/home/kaileen/Documents/CSC475/Project/music_repo/02 I Wanna Dance With Somebody (The Cube Guys Extended Mix Full Vocal).m4a
Inside What's Within Behind,Meshuggah,68,270.7678911564626,/home/kaileen/Documents/CSC475/Project/music_repo/07 Inside What's Within Behind.m4a
Fast Cars,Aesop Rock,82,275.20290249433106,/home/kaileen/Documents/CSC475/Project/music_repo/01 Fast Cars.m4a
Funk Ad,Daft Punk,112,51.43219954648526,/home/kaileen/Documents/CSC475/Project/music_repo/16 Funk Ad.m4a
409,The Beach Boys,80,120.18648526077098,/home/kaileen/Documents/CSC475/Project/music_repo/409.m4a
All The Small Things,Blink-182,74,168.2053514739229,/home/kaileen/Documents/CSC475/Project/music_repo/All The Small Things.m4a
